country,institution,programme_name_exact,min_prior_ects,accepts_3yr_bachelor,entry_requirement_note,source_url
Switzerland,University of Geneva,Master of Science in Business Analytics,180,yes,"FAVOURABLE and explicit. UNIGE's general master admission condition requires ""un premier diplome universitaire (bachelor ou titre juge equivalent)"" from a university and programme recognised by UNIGE, obtained after a minimum of 3 years of study, i.e. at least 180 ECTS (unige.ch/conditions/MA). AUFLAGEN: the GSEM programme directive provides that ""The Scientific Committee may require some candidates for the Master in Business Analytics to complete Bachelor-level courses, 'Business Analytics', representing no more than 6 ECTS credits during the first semester of the Master's program."" This is a maximum 6-ECTS co-requisite taken inside the master, not a bridging year. Applicants from outside GSEM must supply descriptions of prior statistics/probability/computing courses. English B2 required.",https://www.unige.ch/gsem/en/programs/masters/admissions/master-business-analytics
Germany,TH Koeln (Cologne Game Lab),Digital Games,210,conditional,"CRITICAL - 210 ECTS REQUIRED, MAKE-UP ROUTE AVAILABLE. Applicants ""must hold a degree equaling at least 210 ECTS credits"". For a 180-ECTS holder: ""Applicants who have obtained 180 ETCS credits in a six-semester program may only be offered conditional admission"" and are ""required to obtain additional 30 ECTS credits while enrolled in the Master's program"" (or prove equivalent prior practical/academic achievements, which can be recognised). So the applicant is admissible but carries a 30-ECTS make-up obligation on top of the 90-ECTS master. Degree must be in Digital Games or a closely related field (Game Arts, Game Design, Game Programming); portfolio, application tasks and an online interview also apply.",https://www.th-koeln.de/en/academics/digital-games-masters-program--how-to-apply_51469.php
Germany,SRH University (formerly SRH Berlin University of Applied Sciences),"M.A. Film, Television and Digital Narratives",NOT_FOUND,NOT_FOUND,"No ECTS floor published for this programme. The programme page and its dedicated ""Admission requirements in detail"" page require only a ""Degree (bachelor or diploma)"" plus a portfolio of 5-8 film works, a list of 5 favourite films/series, English proficiency, CV and motivation letter, and note the programme ""is suitable for graduates of all Bachelor's degree programmes"". A bridging option exists but is not tied to credits: ""If the GPA, subject or language requirements are not fully met for direct entry into the programme, we offer a 1-semester PreMaster programme at the SRH International College."" AMBIGUOUS - SRH's institution-level admission rule is reported as accepting 180 or 210 ECTS, and this master is 120 ECTS over 4 semesters (180+120=300), which is consistent with 180 being sufficient, but no programme page states a number. Confirm with admissions.",https://www.srh-university.de/en/master/film-television-digital-narratives/v/master-film-television-and-digital-narratives-admission-requirements-in-detail/
Germany,Macromedia University of Applied Sciences,Digital Media Business,180,yes,"Explicit and favourable, with a structural consequence. General master admission requires ""210 ECTS for admission to the 3-semester Master's programme with 90 ECTS or a Bachelor's degree with 180 ECTS for admission to the 4-semester Master's programme with 120 ECTS."" A 180-ECTS holder is therefore admitted, but to the longer 4-semester / 120-ECTS variant rather than the 3-semester one - the extra credits are absorbed by a longer master rather than by separate bridging modules. English proficiency TOEFL iBT 72 or IELTS 6.0 or equivalent. The programme is non-consecutive, so career changers are welcome.",https://www.macromedia-fachhochschule.de/en/advisory/admission-application/master/
Germany,Filmuniversitaet Babelsberg KONRAD WOLF,Creative Technologies,NOT_FOUND,yes,"No credit floor. The programme's own Fachspezifische Ordnung zur Feststellung der studiengangsbezogenen Eignung, Sec. 2, requires only ""ein abgeschlossenes B.Sc.- oder B.A.-Studium oder ein vergleichbarer Abschluss"" in Medieninformatik, Informatik, Medientechnologien, Digitale Medien, Interaction/Experience Design, Mediendesign or a comparable programme, plus proof of knowledge of modern audiovisual media production technologies. Safety net in the university's Rahmenordnung Sec. 6(3): where a two-year master does require 240 ECTS, ""Bewerber*innen koennen auch mit einem Bachelorabschluss mit weniger als 240 ECTS-Punkten zugelassen werden, wenn sie in der Pruefung zur kuenstlerischen Eignung nachweisen, dass sie ueber die fuer den Masterstudiengang erforderlichen Kompetenzen verfuegen."" SEPARATE BARRIER (not ECTS): foreign applicants who did not obtain their school-leaving qualification at a German-language institution must provide DSH-1 or equivalent GERMAN language proof, despite the English-language description.",https://www.filmuniversitaet.de/fileadmin/user_upload/pdfs/studium/allg._Ordnungen/Fachspez_FeststellungsO_MA__CT_18_10_21.pdf
Germany,Bauhaus-Universitaet Weimar,Computer Science for Digital Media,NOT_FOUND,conditional,"No total credit floor in the Studienordnung (MdU 38/2020). Sec. 2(1): admission requires ""ein - mit mindestens 'gut' beendeter - fachlich einschlaegiger erster Hochschulabschluss"", where relevant means computer science, media informatics or another technical-scientific programme with a high computer-science share; no ECTS volume is stated, so 180 is not barred. MAKE-UP CLAUSE, Sec. 2(3): ""Sind andere der erforderlichen Kriterien nur teilweise erfuellt, entscheidet der Pruefungsausschuss. Gegebenenfalls kann der Pruefungsausschuss vom Bewerber/von der Bewerberin zu erbringende Zusatzleistungen festlegen"" - the examination board may impose additional coursework. SUBJECT-SPECIFIC CREDITS (Application FAQs): Mathematics and Computer Science together ""amounting to the equivalent of at least 90 ECTS points (approx.)"", with at least 15 ECTS in Mathematics and 45 ECTS in Computer Science - this is the real risk for a Business Intelligence licence. Target GPA 2.0 or better; English B2. Non-EU/EEA applicants apply via uni-assist. WARNING: an automated summary of this PDF produced a fabricated quote of ""mindestens 180 ECTS-Punkten""; that wording does NOT appear in the document.",https://www.uni-weimar.de/fileadmin/user/fak/medien/hauptseiten/Downloads/Ordnungen/MI/SO/STO-CS4DM_MdU-38_2020.pdf
Spain,IE University - IE Business School,"Master in Creative Direction, Content & Branding",NOT_FOUND,yes,"No ECTS floor published. Admissions and fees page requires ""Bachelor degree from an accredited university"" (footnoted only for legalization/translation), official transcripts, CV, personal statement, references, entrance exam (GMAT/GRE/ieGAT) and English certificate. No duration, credit-count or Spanish 240-ECTS grado condition is stated for this 10-month official master.",https://www.ie.edu/business-school/programs/masters/master-in-creative-direction-content-branding/admissions-fees/
Switzerland,"HEAD - Geneve, Haute ecole d'art et de design (HES-SO)",Master en Media Design,180,yes,"FAVOURABLE. Governing HES-SO master admission rule: candidates must hold ""a diploma from a higher education institution (Bachelor degree or equivalent title) obtained in a recognized higher education institution and programme by the HES-SO at the end of training lasting a minimum of 3 years (at least 180 ECTS credits)"", and ""Holders of foreign tertiary education titles recognized as equivalent to a Bachelor degree"" are treated the same as Swiss diploma holders. HEAD's own Conditions et procedures d'admission aux etudes de Master require ""un diplome de Bachelor de niveau universitaire ou HES ou un titre etranger juge equivalent"" and reserve the right to scrutinise private-school and foreign diplomas (verification via admission.head@hesge.ch). Entry is by a two-round competitive concours (dossier/portfolio then a ~20-minute interview), which is the real selection hurdle, not credits. Programme page: no technical prerequisite. HEAD programme page: https://www.hesge.ch/head/formations-recherche/master-en-media-design",https://www.hes-so.ch/la-hes-so/etudier-a-la-hes-so/admissions/admissions-et-reglements-en-master
Switzerland,Zurcher Hochschule der Kunste (ZHdK),"MA Design, Major Interaction Design",NOT_FOUND,yes,"No credit floor. Rahmenordnung (RO 414.262.1) Sec. 22(1): admission to master programmes is open to whoever holds ""a. einen Bachelorabschluss oder b. einen mindestens gleichwertigen Abschluss einer anerkannten oder akkreditierten Hochschule"" - degree type only, no ECTS number. RO Sec. 5(1) confirms a ZHdK bachelor is 180 credits, so 180 is the domestic norm. The Studienordnung MA Design Sec. 4 adds nothing on credits (""Die Zulassung zum Studium stuetzt sich auf die Bestimmungen der RO"") and only adds language requirements. Selection is by a staged Zulassungsverfahren with portfolio and a fachliche Eignungsabklaerung. Note ZHdK may also admit sur dossier candidates without a bachelor's degree in exceptional cases. I could NOT substantiate the third-party claim that applicants with 180 credits must prove additional academic training or make up credits during the master - no such clause appears in RO Sec. 19-24 or StO MA Design.",https://www.zhdk.ch/studium/design/studiengang-master-design/anmeldung-design-ma-2857
Switzerland,ECAL - Ecole cantonale d'art de Lausanne,Master Digital Experience Design,180,yes,"FAVOURABLE. ECAL is a HES-SO school, and the HES-SO master admission regulation requires a ""Bachelor degree or equivalent title ... at the end of training lasting a minimum of 3 years (at least 180 ECTS credits)"", with foreign titles recognised as equivalent treated identically. ECAL's own Master requirements page states the subject condition - ""Bachelor's degree in digital design, computer science or communication systems"" - ""or equivalent foreign certificate"", and notes ""ECAL evaluates title's equivalences. This procedure being relatively long, a request of examination (Diploma, transcripts & cv) must be submitted by email"" ahead of the deadline. IMPORTANT: the 180-ECTS figure comes from the governing HES-SO regulation, NOT from ECAL's own page, which states no credit number. Certified translation required for documents not in FR/DE/IT/EN/ES. ECAL page: https://ecal.ch/en/admissions/master/requirements-portfolio/",https://www.hes-so.ch/la-hes-so/etudier-a-la-hes-so/admissions/admissions-et-reglements-en-master
Switzerland,ECAL and HEAD - Geneve (HES-SO),Master Film Studies ECAL-HEAD,180,yes,"FAVOURABLE and the least subject-restricted of the Swiss art-school entries. HES-SO master admission regulation requires a ""Bachelor degree or equivalent title ... at the end of training lasting a minimum of 3 years (at least 180 ECTS credits)""; foreign equivalents are treated the same. On ECAL's Master requirements page, Film Studies is the one programme listed as requiring only a ""Bachelor's degree"" with no subject field attached (all other ECAL masters name a discipline); the programme page describes it as ""aimed at the holders of a Bachelor's degree, or with equivalent experience"". Foreign diplomas go through ECAL's equivalence examination, requested by email before the deadline. IMPORTANT: the 180-ECTS figure comes from the governing HES-SO regulation, NOT from ECAL's own page. ECAL page: https://ecal.ch/en/admissions/master/requirements-portfolio/",https://www.hes-so.ch/la-hes-so/etudier-a-la-hes-so/admissions/admissions-et-reglements-en-master
